EEG 1, EEG 2, EEG 3, EEG 4, EEG 5, EEG 6, EEG 7, EEG 8, TRIG
159218.000,183322.500,310322.100,279707.200,166512.900,161943.000,149117.400,165765.000,0.000
159190.700,183348.600,310287.000,279624.900,166666.300,161975.800,149143.600,165795.100,0.000
159146.900,183263.100,310079.900,279425.500,166490.100,161909.300,149024.800,165610.600,0.000
159129.700,183163.700,309882.700,279295.200,166202.500,161817.300,148909.500,165449.400,0.000
159142.900,183167.400,309864.600,279322.400,166180.000,161807.400,148935.300,165513.700,0.000
159158.000,183258.200,309958.400,279390.900,166442.800,161889.100,149060.400,165698.200,0.000
159142.500,183298.300,309944.100,279329.600,166614.600,161932.700,149101.700,165747.900,0.000
159097.100,183216.900,309742.600,279131.400,166438.500,161867.100,148985.900,165565.300,0.000
159078.400,183115.500,309551.200,279003.600,166148.800,161775.000,148867.400,165401.000,0.000
159096.400,183119.600,309543.400,279045.200,166131.900,161766.200,148896.100,165464.900,0.000
159110.300,183206.300,309637.900,279116.400,166393.000,161842.400,149019.600,165651.400,0.000
159087.000,183243.800,309621.100,279051.800,166560.600,161883.300,149053.700,165693.100,0.000
159045.800,183169.100,309431.000,278865.500,166397.700,161826.300,148933.500,165520.600,0.000
159023.600,183066.600,309241.000,278741.100,166110.000,161733.600,148797.800,165357.100,0.000
159037.900,183068.500,309228.700,278777.100,166086.100,161723.500,148822.000,165416.100,0.000
159064.900,183166.200,309335.900,278859.800,166356.300,161808.400,148963.900,165615.400,0.000
159041.300,183201.500,309322.100,278794.300,166525.900,161850.200,149004.400,165657.800,0.000
159005.900,183128.400,309136.500,278615.300,166365.900,161797.000,148898.300,165481.400,0.000
158987.900,183032.900,308951.000,278501.200,166083.600,161703.800,148782.300,165317.400,0.000
158999.600,183041.000,308941.400,278547.800,166062.900,161694.000,148815.100,165385.300,0.000
159013.700,183128.800,309038.400,278622.600,166321.100,161767.600,148936.800,165576.500,0.000
159000.800,183174.500,309035.700,278567.400,166498.700,161825.800,148984.800,165625.400,0.000
158971.100,183108.300,308858.500,278392.100,166342.200,161777.300,148884.900,165463.200,0.000
158962.800,183015.600,308679.800,278278.200,166058.200,161694.100,148776.100,165302.600,0.000
158977.400,183018.200,308672.300,278319.100,166033.000,161687.400,148804.700,165366.800,0.000
158994.100,183102.500,308773.200,278397.200,166288.700,161757.600,148924.200,165553.700,0.000
158985.500,183147.000,308774.700,278347.400,166469.300,161804.100,148967.600,165606.400,0.000
158960.800,183084.300,308611.500,278184.200,166324.800,161758.300,148866.500,165446.100,0.000
158945.500,182988.000,308434.900,278069.900,166039.200,161665.700,148748.900,165279.900,0.000
158964.600,182991.300,308434.300,278115.100,166012.300,161652.800,148777.500,165343.500,0.000
158985.400,183082.900,308541.500,278198.000,166273.800,161730.000,148900.900,165534.700,0.000
158974.100,183127.700,308543.100,278149.100,166457.800,161782.000,148942.700,165582.100,0.000
158942.200,183056.700,308369.400,277979.200,166309.200,161737.500,148841.100,165420.400,0.000
158925.700,182953.800,308184.800,277860.500,166017.000,161641.300,148721.400,165254.100,0.000
158949.900,182960.200,308185.700,277910.600,165992.100,161633.200,148751.200,165317.400,0.000
158972.200,183053.300,308298.000,277996.700,166252.800,161714.500,148880.000,165513.000,0.000
158956.000,183096.100,308300.800,277947.900,166428.600,161761.000,148919.900,165565.700,0.000
158925.400,183028.900,308134.600,277776.800,166279.500,161712.600,148816.400,165405.700,0.000
158912.500,182937.200,307962.000,277660.000,165992.600,161626.500,148703.800,165235.300,0.000
158935.800,182946.800,307968.200,277715.300,165967.400,161621.100,148739.300,165296.800,0.000
158953.000,183031.100,308076.600,277805.000,166224.200,161690.400,148858.700,165488.000,0.000
158943.100,183074.000,308088.300,277762.400,166410.400,161738.400,148904.700,165544.700,0.000
158922.100,183014.000,307931.400,277601.200,166272.500,161697.500,148813.800,165390.300,0.000
158908.600,182920.300,307754.800,277486.500,165986.600,161608.800,148698.300,165223.800,0.000
158935.500,182934.500,307761.100,277543.100,165963.400,161609.100,148732.700,165286.500,0.000
158951.100,183022.600,307871.100,277630.700,166218.700,161682.500,148855.400,165477.400,0.000
158936.300,183068.100,307878.200,277586.600,166400.300,161730.900,148899.100,165533.800,0.000
158905.600,183007.900,307714.200,277417.300,166255.100,161690.900,148801.400,165372.600,0.000
158891.900,182912.500,307538.100,277299.300,165968.800,161610.600,148686.800,165203.500,0.000
158913.900,182916.900,307543.100,277352.200,165937.500,161605.600,148712.800,165261.300,0.000
