EEG1,EEG2,EEG3,EEG4,EEG5,EEG6,EEG7,EEG8
-125.52740478515625,-123.5604476928711,-122.39815521240234,-124.81214904785156,-116.58670806884766,-118.55365753173828,-113.54686737060547,-96.55953979492188
-125.70621490478516,-123.5604476928711,-122.57697296142578,-124.81214904785156,-116.3184814453125,-118.55365753173828,-113.63627624511719,-96.6489486694336
-125.70621490478516,-123.47103881835938,-122.39815521240234,-124.72274017333984,-116.22908020019531,-118.55365753173828,-113.72567749023438,-96.47013092041016
-125.43799591064453,-123.38163757324219,-122.12993621826172,-124.63333129882812,-116.3184814453125,-118.55365753173828,-113.90449523925781,-96.6489486694336
-125.52740478515625,-123.47103881835938,-122.21934509277344,-124.81214904785156,-116.40789031982422,-118.37484741210938,-113.72567749023438,-96.6489486694336
-125.52740478515625,-123.47103881835938,-122.21934509277344,-124.81214904785156,-116.1396713256836,-118.73247528076172,-113.63627624511719,-96.55953979492188
-125.34858703613281,-123.20281982421875,-122.21934509277344,-124.63333129882812,-116.22908020019531,-118.46424865722656,-113.90449523925781,-96.38072967529297
-125.52740478515625,-123.11341094970703,-122.21934509277344,-124.63333129882812,-116.40789031982422,-118.37484741210938,-113.8150863647461,-96.38072967529297
-125.61680603027344,-123.29222869873047,-122.39815521240234,-124.81214904785156,-116.40789031982422,-118.64306640625,-113.72567749023438,-96.47013092041016
-125.52740478515625,-123.11341094970703,-122.39815521240234,-124.81214904785156,-116.3184814453125,-118.73247528076172,-113.72567749023438,-96.29132080078125
-125.52740478515625,-123.11341094970703,-122.39815521240234,-124.72274017333984,-116.1396713256836,-118.37484741210938,-113.63627624511719,-96.38072967529297
-125.52740478515625,-123.20281982421875,-122.21934509277344,-124.63333129882812,-116.1396713256836,-118.28543853759766,-113.72567749023438,-96.38072967529297
-125.43799591064453,-123.20281982421875,-122.21934509277344,-124.5439224243164,-116.3184814453125,-118.37484741210938,-113.8150863647461,-96.38072967529297
-125.61680603027344,-123.11341094970703,-122.21934509277344,-124.72274017333984,-116.1396713256836,-118.64306640625,-113.90449523925781,-96.47013092041016
-125.61680603027344,-123.11341094970703,-122.12993621826172,-124.99095916748047,-116.05026245117188,-118.8218765258789,-113.72567749023438,-96.6489486694336
-125.70621490478516,-123.11341094970703,-122.48756408691406,-124.81214904785156,-116.22908020019531,-118.64306640625,-113.8150863647461,-96.6489486694336
